Collapse Section 	2.1.1 	-   -    Applied Social Sciences & Humanities 	applied-social-sciences-humanities 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down   	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.1.1 	-   -   -    Business Economics 	business-economics 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down   	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.1.2 	-   -   -    Slavonic & Finno-Ugrian Studies 	slavonic-finno-ugrian-studies 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  Up 	View 	Copy 	Edit 	  	Toggle
Collapse Section 	2.1.2 	-   -    Arts 	arts 	  	du_faculty_detail 	Advanced Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.1 	-   -   -    Arabic 	arabic 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down   	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.2 	-   -   -    Buddhist Studies 	buddhist-studies 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.3 	-   -   -    English 	english 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.4 	-   -   -    Germanic & Romance Studies 	germanic-romance-studies 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.5 	-   -   -    Hindi 	hindi 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.6 	-   -   -    Library & Information Science 	library-information-science 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.7 	-   -   -    Linguistics 	linguistics 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.8 	-   -   -    Modern Indian Languages and Literary Studies 	modern-indian-languages-and-literary-studies 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.9 	-   -   -    Persian 	persian 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.10 	-   -   -    Philosophy 	philosophy 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.11 	-   -   -    Psychology 	psychology 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.12 	-   -   -    Punjabi 	punjabi 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.13 	-   -   -    Sanskrit 	sanskrit 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.2.14 	-   -   -    Urdu 	urdu 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  Up 	View 	Copy 	Edit 	  	Toggle
Collapse Section 	2.1.3 	-   -    Commerce & Business Studies 	commerce-business-studies 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.3.1 	-   -   -    Commerce 	commerce 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down   	View 	Copy 	Edit 	  	Toggle
  	2.1.3.2 	-   -   -    Financial Studies 	financial-studies 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  Up 	View 	Copy 	Edit 	Delete 	Toggle
Collapse Section 	2.1.4 	-   -    Education 	education 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
  	2.1.4.1 	-   -   -    Education 	education-2 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  	View 	Copy 	Edit 	Delete 	Toggle
Collapse Section 	2.1.5 	-   -    Interdisciplinary & Applied Sciences 	interdisciplinary-applied-sciences 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.5.1 	-   -   -    Institute of Informatics & Communication 	iic 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down   	View 	Copy 	Edit 	  	Toggle
  	2.1.5.2 	-   -   -    Bio Physics 	bio-physics 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	Delete 	Toggle
Expand Section 	2.1.5.3 	-   -   -    Biochemistry 	biochemistry 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.5.4 	-   -   -    Electronics Science 	electronics-science 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.5.5 	-   -   -    Genetics 	genetics 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.5.6 	-   -   -    Microbiology 	microbiology 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.5.7 	-   -   -    Physical Education & Sports Sciences 	physical-education-sports-sciences 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.5.8 	-   -   -    Plant Molecular Biology 	plant-molecular-biology 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  Up 	View 	Copy 	Edit 	  	Toggle
Collapse Section 	2.1.6 	-   -    Law 	law 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.6.1 	-   -   -    Law 	law-2 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  	View 	Copy 	Edit 	  	Toggle
Collapse Section 	2.1.7 	-   -    Management Studies 	management-studies 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.7.1 	-   -   -    Business Management & Industrial Administration 	business-management-industrial-administration 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  	View 	Copy 	Edit 	  	Toggle
Collapse Section 	2.1.8 	-   -    Mathematical Sciences 	mathematical-sciences 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.8.1 	-   -   -    Computer Science 	computer-science 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down   	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.8.2 	-   -   -    Mathematics 	mathematics 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.8.3 	-   -   -    Operational Research 	operational-research 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
Expand Section 	2.1.8.4 	-   -   -    Statistics 	statistics 	  	du_dept_detail 	Content 	pns 	Set False 	Set True 	  Up 	View 	Copy 	Edit 	  	Toggle
Collapse Section 	2.1.9 	-   -    Medical Sciences 	medical-sciences 	  	du_faculty_detail 	Content 	pns 	Set False 	Set True 	Down Up 	View 	Copy 	Edit 	  	Toggle
